ENTIDAD,ANUAL,MESES,Tmax,AÑO
HIDALGO,24.0,JUN,26.2,1989
JALISCO,29.0,JUN,32.4,1989
ESTADO DE MÉXICO,22.5,JUN,23.8,1989
MICHOACÁN,28.0,JUN,30.3,1989
MORELOS,29.0,JUN,29.5,1989
NAYARIT,32.2,JUN,34.6,1989
NUEVO LEÓN,27.0,JUN,33.0,1989
OAXACA,29.1,JUN,29.3,1989
PUEBLA,24.9,JUN,26.5,1989
QUERÉTARO,25.5,JUN,28.0,1989
QUINTANA ROO,31.9,JUN,33.9,1989
SAN LUIS POTOSÍ,28.0,JUN,32.5,1989
SINALOA,32.5,JUN,36.5,1989
SONORA,31.6,JUN,38.4,1989
TABASCO,32.2,JUN,35.2,1989
TAMAULIPAS,30.1,JUN,35.7,1989
TLAXCALA,21.9,JUN,22.4,1989
VERACRUZ,28.3,JUN,31.7,1989
YUCATÁN,32.9,JUN,35.8,1989
ZACATECAS,26.4,JUN,31.2,1989
AGUASCALIENTES,25.8,JUL,27.7,1989
BAJA CALIFORNIA,27.1,JUL,33.5,1989
BAJA CALIFORNIA SUR,30.1,JUL,34.8,1989
CAMPECHE,33.5,JUL,35.1,1989
COAHUILA,27.2,JUL,32.4,1989
COLIMA,32.1,JUL,32.3,1989
CHIAPAS,29.5,JUL,30.2,1989
CHIHUAHUA,26.4,JUL,32.0,1989
DISTRITO FEDERAL,23.2,JUL,23.7,1989
DURANGO,25.9,JUL,29.1,1989
GUANAJUATO,26.6,JUL,27.4,1989
GUERRERO,31.6,JUL,31.0,1989
HIDALGO,24.0,JUL,24.5,1989
JALISCO,29.0,JUL,29.1,1989
ESTADO DE MÉXICO,22.5,JUL,22.1,1989
MICHOACÁN,28.0,JUL,27.7,1989
MORELOS,29.0,JUL,28.1,1989
NAYARIT,32.2,JUL,32.8,1989
NUEVO LEÓN,27.0,JUL,32.4,1989
OAXACA,29.1,JUL,28.9,1989
PUEBLA,24.9,JUL,24.9,1989
QUERÉTARO,25.5,JUL,26.1,1989
QUINTANA ROO,31.9,JUL,33.8,1989
SAN LUIS POTOSÍ,28.0,JUL,30.9,1989
SINALOA,32.5,JUL,35.6,1989
SONORA,31.6,JUL,38.2,1989
TABASCO,32.2,JUL,34.5,1989
TAMAULIPAS,30.1,JUL,34.9,1989
TLAXCALA,21.9,JUL,21.6,1989
VERACRUZ,28.3,JUL,29.9,1989
YUCATÁN,32.9,JUL,35.0,1989
ZACATECAS,26.4,JUL,28.4,1989
AGUASCALIENTES,25.8,AGO,25.2,1989
BAJA CALIFORNIA,27.1,AGO,32.1,1989
BAJA CALIFORNIA SUR,30.1,AGO,34.6,1989
CAMPECHE,33.5,AGO,34.6,1989
COAHUILA,27.2,AGO,31.3,1989
COLIMA,32.1,AGO,32.4,1989
CHIAPAS,29.5,AGO,29.9,1989
CHIHUAHUA,26.4,AGO,29.3,1989
DISTRITO FEDERAL,23.2,AGO,23.4,1989
DURANGO,25.9,AGO,27.3,1989
GUANAJUATO,26.6,AGO,26.0,1989
GUERRERO,31.6,AGO,30.6,1989
HIDALGO,24.0,AGO,24.0,1989
JALISCO,29.0,AGO,27.9,1989
ESTADO DE MÉXICO,22.5,AGO,21.8,1989
MICHOACÁN,28.0,AGO,27.0,1989
MORELOS,29.0,AGO,27.4,1989
NAYARIT,32.2,AGO,31.9,1989
NUEVO LEÓN,27.0,AGO,31.1,1989
OAXACA,29.1,AGO,28.9,1989
PUEBLA,24.9,AGO,24.8,1989
QUERÉTARO,25.5,AGO,25.0,1989
QUINTANA ROO,31.9,AGO,33.4,1989
SAN LUIS POTOSÍ,28.0,AGO,29.2,1989
SINALOA,32.5,AGO,33.2,1989
SONORA,31.6,AGO,35.0,1989
TABASCO,32.2,AGO,34.4,1989
TAMAULIPAS,30.1,AGO,33.4,1989
TLAXCALA,21.9,AGO,21.3,1989
VERACRUZ,28.3,AGO,29.9,1989
YUCATÁN,32.9,AGO,34.6,1989
ZACATECAS,26.4,AGO,26.3,1989
AGUASCALIENTES,25.8,SEP,24.8,1989
BAJA CALIFORNIA,27.1,SEP,32.7,1989
BAJA CALIFORNIA SUR,30.1,SEP,35.0,1989
CAMPECHE,33.5,SEP,33.4,1989
COAHUILA,27.2,SEP,29.5,1989
COLIMA,32.1,SEP,31.4,1989
CHIAPAS,29.5,SEP,28.3,1989
CHIHUAHUA,26.4,SEP,28.7,1989
DISTRITO FEDERAL,23.2,SEP,21.6,1989
DURANGO,25.9,SEP,26.4,1989
GUANAJUATO,26.6,SEP,25.0,1989
GUERRERO,31.6,SEP,29.7,1989
HIDALGO,24.0,SEP,22.4,1989
JALISCO,29.0,SEP,27.5,1989
ESTADO DE MÉXICO,22.5,SEP,20.7,1989
MICHOACÁN,28.0,SEP,26.3,1989
MORELOS,29.0,SEP,27.0,1989
NAYARIT,32.2,SEP,32.7,1989
NUEVO LEÓN,27.0,SEP,29.1,1989
OAXACA,29.1,SEP,27.5,1989
PUEBLA,24.9,SEP,23.7,1989
QUERÉTARO,25.5,SEP,23.9,1989
QUINTANA ROO,31.9,SEP,32.5,1989
SAN LUIS POTOSÍ,28.0,SEP,27.9,1989
SINALOA,32.5,SEP,34.7,1989
SONORA,31.6,SEP,36.6,1989
TABASCO,32.2,SEP,31.7,1989
TAMAULIPAS,30.1,SEP,32.0,1989
TLAXCALA,21.9,SEP,20.4,1989
VERACRUZ,28.3,SEP,28.2,1989
YUCATÁN,32.9,SEP,33.2,1989
ZACATECAS,26.4,SEP,26.1,1989
AGUASCALIENTES,25.8,OCT,26.0,1989
BAJA CALIFORNIA,27.1,OCT,27.4,1989
BAJA CALIFORNIA SUR,30.1,OCT,32.8,1989
CAMPECHE,33.5,OCT,32.5,1989
COAHUILA,27.2,OCT,27.5,1989
COLIMA,32.1,OCT,31.9,1989
CHIAPAS,29.5,OCT,28.3,1989
CHIHUAHUA,26.4,OCT,26.9,1989
DISTRITO FEDERAL,23.2,OCT,22.8,1989
DURANGO,25.9,OCT,25.6,1989
GUANAJUATO,26.6,OCT,26.2,1989
GUERRERO,31.6,OCT,30.2,1989
HIDALGO,24.0,OCT,23.1,1989
JALISCO,29.0,OCT,28.6,1989
ESTADO DE MÉXICO,22.5,OCT,21.8,1989
MICHOACÁN,28.0,OCT,27.1,1989
MORELOS,29.0,OCT,27.5,1989
NAYARIT,32.2,OCT,32.5,1989
NUEVO LEÓN,27.0,OCT,27.2,1989
OAXACA,29.1,OCT,28.1,1989
PUEBLA,24.9,OCT,24.3,1989
QUERÉTARO,25.5,OCT,24.8,1989
QUINTANA ROO,31.9,OCT,31.4,1989
SAN LUIS POTOSÍ,28.0,OCT,27.9,1989
SINALOA,32.5,OCT,34.6,1989
SONORA,31.6,OCT,33.5,1989
TABASCO,32.2,OCT,30.8,1989
TAMAULIPAS,30.1,OCT,30.6,1989
TLAXCALA,21.9,OCT,21.5,1989
VERACRUZ,28.3,OCT,28.2,1989
YUCATÁN,32.9,OCT,31.9,1989
ZACATECAS,26.4,OCT,26.6,1989
AGUASCALIENTES,25.8,NOV,24.8,1989
BAJA CALIFORNIA,27.1,NOV,25.1,1989
BAJA CALIFORNIA SUR,30.1,NOV,28.6,1989
CAMPECHE,33.5,NOV,32.1,1989
COAHUILA,27.2,NOV,23.7,1989
COLIMA,32.1,NOV,32.1,1989
CHIAPAS,29.5,NOV,28.8,1989
CHIHUAHUA,26.4,NOV,21.9,1989
DISTRITO FEDERAL,23.2,NOV,23.0,1989
DURANGO,25.9,NOV,22.7,1989
GUANAJUATO,26.6,NOV,25.9,1989
GUERRERO,31.6,NOV,31.2,1989
HIDALGO,24.0,NOV,23.8,1989
JALISCO,29.0,NOV,27.8,1989
ESTADO DE MÉXICO,22.5,NOV,22.4,1989
MICHOACÁN,28.0,NOV,27.8,1989
MORELOS,29.0,NOV,28.8,1989
NAYARIT,32.2,NOV,31.2,1989
NUEVO LEÓN,27.0,NOV,23.9,1989
OAXACA,29.1,NOV,28.7,1989
PUEBLA,24.9,NOV,24.5,1989
QUERÉTARO,25.5,NOV,25.1,1989
QUINTANA ROO,31.9,NOV,30.8,1989
SAN LUIS POTOSÍ,28.0,NOV,25.9,1989
SINALOA,32.5,NOV,30.5,1989
SONORA,31.6,NOV,28.2,1989
TABASCO,32.2,NOV,31.0,1989
TAMAULIPAS,30.1,NOV,28.2,1989
TLAXCALA,21.9,NOV,21.9,1989
VERACRUZ,28.3,NOV,27.5,1989
YUCATÁN,32.9,NOV,31.3,1989
ZACATECAS,26.4,NOV,24.6,1989
AGUASCALIENTES,25.8,DIC,19.9,1989
BAJA CALIFORNIA,27.1,DIC,22.1,1989
BAJA CALIFORNIA SUR,30.1,DIC,24.9,1989
CAMPECHE,33.5,DIC,29.7,1989
COAHUILA,27.2,DIC,17.2,1989
COLIMA,32.1,DIC,30.2,1989
CHIAPAS,29.5,DIC,27.5,1989
CHIHUAHUA,26.4,DIC,16.7,1989
DISTRITO FEDERAL,23.2,DIC,20.4,1989
DURANGO,25.9,DIC,18.4,1989
GUANAJUATO,26.6,DIC,22.3,1989
GUERRERO,31.6,DIC,30.1,1989
HIDALGO,24.0,DIC,20.8,1989
JALISCO,29.0,DIC,24.2,1989
ESTADO DE MÉXICO,22.5,DIC,20.2,1989
MICHOACÁN,28.0,DIC,25.0,1989
MORELOS,29.0,DIC,27.3,1989
NAYARIT,32.2,DIC,28.1,1989
NUEVO LEÓN,27.0,DIC,16.9,1989
OAXACA,29.1,DIC,27.5,1989
PUEBLA,24.9,DIC,22.6,1989
QUERÉTARO,25.5,DIC,21.8,1989
QUINTANA ROO,31.9,DIC,28.2,1989
SAN LUIS POTOSÍ,28.0,DIC,20.2,1989
SINALOA,32.5,DIC,27.0,1989
SONORA,31.6,DIC,23.4,1989
TABASCO,32.2,DIC,27.1,1989
TAMAULIPAS,30.1,DIC,19.4,1989
TLAXCALA,21.9,DIC,19.7,1989
VERACRUZ,28.3,DIC,22.6,1989
YUCATÁN,32.9,DIC,28.7,1989
ZACATECAS,26.4,DIC,19.8,1989
AGUASCALIENTES,17.0,ENE,13.1,1990
BAJA CALIFORNIA,19.2,ENE,12.7,1990
BAJA CALIFORNIA SUR,22.3,ENE,16.2,1990
CAMPECHE,26.0,ENE,24.1,1990
COAHUILA,19.5,ENE,13.5,1990
COLIMA,25.3,ENE,23.2,1990
CHIAPAS,23.7,ENE,21.8,1990
CHIHUAHUA,16.7,ENE,9.1,1990
DISTRITO FEDERAL,15.5,ENE,13.2,1990
DURANGO,17.1,ENE,11.6,1990
GUANAJUATO,18.1,ENE,14.8,1990
GUERRERO,25.0,ENE,23.6,1990
HIDALGO,16.3,ENE,13.8,1990
JALISCO,20.3,ENE,16.8,1990
ESTADO DE MÉXICO,14.5,ENE,12.2,1990
MICHOACÁN,20.1,ENE,17.7,1990
MORELOS,21.4,ENE,19.4,1990
NAYARIT,24.9,ENE,21.7,1990
NUEVO LEÓN,19.9,ENE,14.4,1990
OAXACA,22.3,ENE,21.0,1990
PUEBLA,17.7,ENE,15.1,1990
QUERÉTARO,17.7,ENE,14.7,1990
QUINTANA ROO,25.6,ENE,23.8,1990
SAN LUIS POTOSÍ,20.7,ENE,16.4,1990
SINALOA,24.8,ENE,18.9,1990
SONORA,21.8,ENE,13.5,1990
TABASCO,27.1,ENE,24.5,1990
TAMAULIPAS,23.6,ENE,18.3,1990
TLAXCALA,13.8,ENE,11.4,1990
VERACRUZ,22.7,ENE,19.4,1990
YUCATÁN,26.1,ENE,24.3,1990
ZACATECAS,17.2,ENE,13.1,1990
AGUASCALIENTES,17.0,FEB,13.1,1990
BAJA CALIFORNIA,19.2,FEB,12.5,1990
BAJA CALIFORNIA SUR,22.3,FEB,15.7,1990
CAMPECHE,26.0,FEB,24.3,1990
COAHUILA,19.5,FEB,15.0,1990
COLIMA,25.3,FEB,23.4,1990
CHIAPAS,23.7,FEB,22.4,1990
CHIHUAHUA,16.7,FEB,9.9,1990
DISTRITO FEDERAL,15.5,FEB,13.8,1990
DURANGO,17.1,FEB,11.7,1990
GUANAJUATO,18.1,FEB,15.5,1990
GUERRERO,25.0,FEB,24.4,1990
HIDALGO,16.3,FEB,13.9,1990
JALISCO,20.3,FEB,17.1,1990
ESTADO DE MÉXICO,14.5,FEB,12.7,1990
MICHOACÁN,20.1,FEB,18.3,1990
MORELOS,21.4,FEB,20.4,1990
NAYARIT,24.9,FEB,21.2,1990
NUEVO LEÓN,19.9,FEB,15.5,1990
OAXACA,22.3,FEB,21.6,1990
PUEBLA,17.7,FEB,16.3,1990
QUERÉTARO,17.7,FEB,15.4,1990
QUINTANA ROO,25.6,FEB,24.3,1990
SAN LUIS POTOSÍ,20.7,FEB,17.2,1990
SINALOA,24.8,FEB,18.7,1990
SONORA,21.8,FEB,13.8,1990
TABASCO,27.1,FEB,24.8,1990
TAMAULIPAS,23.6,FEB,19.8,1990
TLAXCALA,13.8,FEB,12.1,1990
VERACRUZ,22.7,FEB,20.5,1990
YUCATÁN,26.1,FEB,24.6,1990
ZACATECAS,17.2,FEB,12.9,1990
AGUASCALIENTES,17.0,MAR,16.4,1990
BAJA CALIFORNIA,19.2,MAR,15.2,1990
BAJA CALIFORNIA SUR,22.3,MAR,18.4,1990
CAMPECHE,26.0,MAR,24.9,1990
COAHUILA,19.5,MAR,17.0,1990
COLIMA,25.3,MAR,24.5,1990
CHIAPAS,23.7,MAR,23.5,1990
CHIHUAHUA,16.7,MAR,14.1,1990
DISTRITO FEDERAL,15.5,MAR,15.1,1990
DURANGO,17.1,MAR,15.8,1990
GUANAJUATO,18.1,MAR,17.7,1990
GUERRERO,25.0,MAR,25.5,1990
HIDALGO,16.3,MAR,15.7,1990
JALISCO,20.3,MAR,19.5,1990
ESTADO DE MÉXICO,14.5,MAR,14.1,1990
MICHOACÁN,20.1,MAR,20.0,1990
MORELOS,21.4,MAR,22.1,1990
NAYARIT,24.9,MAR,23.0,1990
NUEVO LEÓN,19.9,MAR,17.6,1990
OAXACA,22.3,MAR,22.4,1990
PUEBLA,17.7,MAR,17.4,1990
QUERÉTARO,17.7,MAR,17.2,1990
QUINTANA ROO,25.6,MAR,24.4,1990
SAN LUIS POTOSÍ,20.7,MAR,19.6,1990
SINALOA,24.8,MAR,21.4,1990
SONORA,21.8,MAR,17.5,1990
TABASCO,27.1,MAR,25.8,1990
TAMAULIPAS,23.6,MAR,22.0,1990
TLAXCALA,13.8,MAR,13.1,1990
VERACRUZ,22.7,MAR,21.3,1990
YUCATÁN,26.1,MAR,24.9,1990
ZACATECAS,17.2,MAR,16.2,1990
AGUASCALIENTES,17.0,ABR,18.8,1990
BAJA CALIFORNIA,19.2,ABR,18.0,1990
BAJA CALIFORNIA SUR,22.3,ABR,20.7,1990
CAMPECHE,26.0,ABR,27.0,1990
COAHUILA,19.5,ABR,20.2,1990
COLIMA,25.3,ABR,25.4,1990
CHIAPAS,23.7,ABR,25.1,1990
CHIHUAHUA,16.7,ABR,17.9,1990
DISTRITO FEDERAL,15.5,ABR,16.3,1990
DURANGO,17.1,ABR,18.1,1990
GUANAJUATO,18.1,ABR,20.1,1990
GUERRERO,25.0,ABR,26.8,1990
HIDALGO,16.3,ABR,17.9,1990
JALISCO,20.3,ABR,21.8,1990
ESTADO DE MÉXICO,14.5,ABR,15.9,1990
MICHOACÁN,20.1,ABR,22.0,1990
MORELOS,21.4,ABR,23.5,1990
NAYARIT,24.9,ABR,24.7,1990
NUEVO LEÓN,19.9,ABR,20.8,1990
OAXACA,22.3,ABR,23.9,1990
PUEBLA,17.7,ABR,19.3,1990
QUERÉTARO,17.7,ABR,19.5,1990
QUINTANA ROO,25.6,ABR,25.8,1990
SAN LUIS POTOSÍ,20.7,ABR,22.4,1990
SINALOA,24.8,ABR,24.4,1990
SONORA,21.8,ABR,21.2,1990
TABASCO,27.1,ABR,28.9,1990
TAMAULIPAS,23.6,ABR,24.8,1990
TLAXCALA,13.8,ABR,14.9,1990
VERACRUZ,22.7,ABR,24.1,1990
YUCATÁN,26.1,ABR,26.4,1990
ZACATECAS,17.2,ABR,18.4,1990
AGUASCALIENTES,17.0,MAY,21.5,1990
BAJA CALIFORNIA,19.2,MAY,19.6,1990
BAJA CALIFORNIA SUR,22.3,MAY,22.5,1990
CAMPECHE,26.0,MAY,28.4,1990
COAHUILA,19.5,MAY,24.1,1990
COLIMA,25.3,MAY,26.9,1990
CHIAPAS,23.7,MAY,25.8,1990
CHIHUAHUA,16.7,MAY,21.5,1990
DISTRITO FEDERAL,15.5,MAY,17.6,1990
DURANGO,17.1,MAY,21.6,1990
GUANAJUATO,18.1,MAY,21.8,1990
GUERRERO,25.0,MAY,26.9,1990
HIDALGO,16.3,MAY,19.2,1990
JALISCO,20.3,MAY,23.8,1990
ESTADO DE MÉXICO,14.5,MAY,16.6,1990
MICHOACÁN,20.1,MAY,22.9,1990
MORELOS,21.4,MAY,23.8,1990
NAYARIT,24.9,MAY,27.0,1990
NUEVO LEÓN,19.9,MAY,24.2,1990
OAXACA,22.3,MAY,24.0,1990
PUEBLA,17.7,MAY,20.2,1990
QUERÉTARO,17.7,MAY,20.9,1990
QUINTANA ROO,25.6,MAY,27.7,1990
SAN LUIS POTOSÍ,20.7,MAY,24.6,1990
SINALOA,24.8,MAY,27.3,1990
SONORA,21.8,MAY,24.3,1990
TABASCO,27.1,MAY,29.9,1990
TAMAULIPAS,23.6,MAY,27.6,1990
TLAXCALA,13.8,MAY,16.2,1990
VERACRUZ,22.7,MAY,26.2,1990
YUCATÁN,26.1,MAY,28.2,1990
ZACATECAS,17.2,MAY,21.5,1990
AGUASCALIENTES,17.0,JUN,21.0,1990
BAJA CALIFORNIA,19.2,JUN,24.2,1990
BAJA CALIFORNIA SUR,22.3,JUN,26.4,1990
CAMPECHE,26.0,JUN,27.8,1990
COAHUILA,19.5,JUN,26.2,1990
COLIMA,25.3,JUN,26.4,1990
CHIAPAS,23.7,JUN,24.9,1990
CHIHUAHUA,16.7,JUN,25.1,1990
DISTRITO FEDERAL,15.5,JUN,17.4,1990
DURANGO,17.1,JUN,23.1,1990
GUANAJUATO,18.1,JUN,21.3,1990
GUERRERO,25.0,JUN,25.8,1990
HIDALGO,16.3,JUN,18.3,1990
JALISCO,20.3,JUN,23.4,1990
ESTADO DE MÉXICO,14.5,JUN,16.0,1990
MICHOACÁN,20.1,JUN,21.8,1990
MORELOS,21.4,JUN,22.9,1990
NAYARIT,24.9,JUN,27.9,1990
NUEVO LEÓN,19.9,JUN,26.1,1990
OAXACA,22.3,JUN,23.2,1990
PUEBLA,17.7,JUN,19.5,1990
QUERÉTARO,17.7,JUN,20.4,1990
QUINTANA ROO,25.6,JUN,27.3,1990
SAN LUIS POTOSÍ,20.7,JUN,24.9,1990
SINALOA,24.8,JUN,30.7,1990
SONORA,21.8,JUN,30.3,1990
TABASCO,27.1,JUN,28.7,1990
TAMAULIPAS,23.6,JUN,29.0,1990
TLAXCALA,13.8,JUN,15.6,1990
VERACRUZ,22.7,JUN,25.2,1990
YUCATÁN,26.1,JUN,28.0,1990
ZACATECAS,17.2,JUN,21.6,1990
AGUASCALIENTES,17.0,JUL,18.8,1990
BAJA CALIFORNIA,19.2,JUL,26.8,1990
BAJA CALIFORNIA SUR,22.3,JUL,27.9,1990
CAMPECHE,26.0,JUL,27.5,1990
COAHUILA,19.5,JUL,23.9,1990
COLIMA,25.3,JUL,25.7,1990
CHIAPAS,23.7,JUL,24.2,1990
CHIHUAHUA,16.7,JUL,22.4,1990
DISTRITO FEDERAL,15.5,JUL,16.6,1990
DURANGO,17.1,JUL,20.3,1990
GUANAJUATO,18.1,JUL,19.3,1990
GUERRERO,25.0,JUL,25.0,1990
HIDALGO,16.3,JUL,17.6,1990
JALISCO,20.3,JUL,21.7,1990
ESTADO DE MÉXICO,14.5,JUL,15.1,1990
MICHOACÁN,20.1,JUL,20.8,1990
MORELOS,21.4,JUL,21.5,1990
NAYARIT,24.9,JUL,26.3,1990
NUEVO LEÓN,19.9,JUL,24.1,1990
OAXACA,22.3,JUL,22.6,1990
PUEBLA,17.7,JUL,18.9,1990
QUERÉTARO,17.7,JUL,18.9,1990
QUINTANA ROO,25.6,JUL,27.1,1990
SAN LUIS POTOSÍ,20.7,JUL,23.1,1990
SINALOA,24.8,JUL,28.1,1990
SONORA,21.8,JUL,28.2,1990
TABASCO,27.1,JUL,28.6,1990
TAMAULIPAS,23.6,JUL,26.9,1990
TLAXCALA,13.8,JUL,14.6,1990
VERACRUZ,22.7,JUL,24.3,1990
YUCATÁN,26.1,JUL,27.6,1990
ZACATECAS,17.2,JUL,19.2,1990
AGUASCALIENTES,17.0,AGO,18.4,1990
BAJA CALIFORNIA,19.2,AGO,25.2,1990
BAJA CALIFORNIA SUR,22.3,AGO,27.9,1990
CAMPECHE,26.0,AGO,27.0,1990
COAHUILA,19.5,AGO,23.5,1990
COLIMA,25.3,AGO,26.3,1990
CHIAPAS,23.7,AGO,24.3,1990
CHIHUAHUA,16.7,AGO,21.2,1990
DISTRITO FEDERAL,15.5,AGO,16.6,1990
DURANGO,17.1,AGO,20.0,1990
GUANAJUATO,18.1,AGO,19.2,1990
GUERRERO,25.0,AGO,25.1,1990
HIDALGO,16.3,AGO,17.5,1990
JALISCO,20.3,AGO,21.8,1990
ESTADO DE MÉXICO,14.5,AGO,15.4,1990
MICHOACÁN,20.1,AGO,21.4,1990
MORELOS,21.4,AGO,21.7,1990
NAYARIT,24.9,AGO,26.9,1990
NUEVO LEÓN,19.9,AGO,24.3,1990
OAXACA,22.3,AGO,23.0,1990
PUEBLA,17.7,AGO,18.8,1990
QUERÉTARO,17.7,AGO,18.9,1990
QUINTANA ROO,25.6,AGO,27.3,1990
SAN LUIS POTOSÍ,20.7,AGO,23.1,1990
SINALOA,24.8,AGO,29.0,1990
SONORA,21.8,AGO,27.4,1990
TABASCO,27.1,AGO,28.6,1990
TAMAULIPAS,23.6,AGO,27.1,1990
TLAXCALA,13.8,AGO,14.6,1990
VERACRUZ,22.7,AGO,24.5,1990
YUCATÁN,26.1,AGO,27.6,1990
ZACATECAS,17.2,AGO,18.9,1990
AGUASCALIENTES,17.0,SEP,17.9,1990
BAJA CALIFORNIA,19.2,SEP,24.6,1990
BAJA CALIFORNIA SUR,22.3,SEP,27.8,1990
CAMPECHE,26.0,SEP,26.6,1990
COAHUILA,19.5,SEP,21.8,1990
COLIMA,25.3,SEP,25.7,1990
CHIAPAS,23.7,SEP,24.3,1990
CHIHUAHUA,16.7,SEP,19.9,1990
DISTRITO FEDERAL,15.5,SEP,16.1,1990
DURANGO,17.1,SEP,19.3,1990
GUANAJUATO,18.1,SEP,18.8,1990
GUERRERO,25.0,SEP,24.7,1990
HIDALGO,16.3,SEP,17.3,1990
JALISCO,20.3,SEP,21.4,1990
ESTADO DE MÉXICO,14.5,SEP,15.2,1990
MICHOACÁN,20.1,SEP,20.5,1990
MORELOS,21.4,SEP,21.5,1990
NAYARIT,24.9,SEP,26.4,1990
NUEVO LEÓN,19.9,SEP,22.7,1990
OAXACA,22.3,SEP,22.4,1990
PUEBLA,17.7,SEP,18.6,1990
QUERÉTARO,17.7,SEP,18.7,1990
QUINTANA ROO,25.6,SEP,26.8,1990
SAN LUIS POTOSÍ,20.7,SEP,22.4,1990
SINALOA,24.8,SEP,28.3,1990
SONORA,21.8,SEP,27.3,1990
TABASCO,27.1,SEP,28.4,1990
TAMAULIPAS,23.6,SEP,26.0,1990
TLAXCALA,13.8,SEP,14.4,1990
VERACRUZ,22.7,SEP,24.1,1990
YUCATÁN,26.1,SEP,26.8,1990
ZACATECAS,17.2,SEP,18.4,1990
AGUASCALIENTES,17.0,OCT,16.9,1990
BAJA CALIFORNIA,19.2,OCT,21.7,1990
BAJA CALIFORNIA SUR,22.3,OCT,25.1,1990
CAMPECHE,26.0,OCT,25.6,1990
COAHUILA,19.5,OCT,19.0,1990
COLIMA,25.3,OCT,26.4,1990
CHIAPAS,23.7,OCT,23.7,1990
CHIHUAHUA,16.7,OCT,16.5,1990
DISTRITO FEDERAL,15.5,OCT,15.8,1990
DURANGO,17.1,OCT,17.2,1990
GUANAJUATO,18.1,OCT,18.1,1990
GUERRERO,25.0,OCT,24.9,1990
HIDALGO,16.3,OCT,16.1,1990
JALISCO,20.3,OCT,21.0,1990
ESTADO DE MÉXICO,14.5,OCT,14.7,1990
MICHOACÁN,20.1,OCT,20.1,1990
MORELOS,21.4,OCT,21.4,1990
NAYARIT,24.9,OCT,26.6,1990
NUEVO LEÓN,19.9,OCT,19.3,1990
OAXACA,22.3,OCT,22.1,1990
PUEBLA,17.7,OCT,17.3,1990
QUERÉTARO,17.7,OCT,17.6,1990
QUINTANA ROO,25.6,OCT,25.7,1990
SAN LUIS POTOSÍ,20.7,OCT,20.4,1990
SINALOA,24.8,OCT,27.1,1990
SONORA,21.8,OCT,24.1,1990
TABASCO,27.1,OCT,27.5,1990
TAMAULIPAS,23.6,OCT,23.0,1990
TLAXCALA,13.8,OCT,14.1,1990
VERACRUZ,22.7,OCT,22.7,1990
YUCATÁN,26.1,OCT,25.8,1990
ZACATECAS,17.2,OCT,17.4,1990
AGUASCALIENTES,17.0,NOV,14.8,1990
BAJA CALIFORNIA,19.2,NOV,17.3,1990
BAJA CALIFORNIA SUR,22.3,NOV,21.1,1990
CAMPECHE,26.0,NOV,24.7,1990
COAHUILA,19.5,NOV,16.6,1990
COLIMA,25.3,NOV,25.5,1990
CHIAPAS,23.7,NOV,22.6,1990
CHIHUAHUA,16.7,NOV,13.3,1990
DISTRITO FEDERAL,15.5,NOV,14.8,1990
DURANGO,17.1,NOV,14.2,1990
GUANAJUATO,18.1,NOV,15.9,1990
GUERRERO,25.0,NOV,24.2,1990
HIDALGO,16.3,NOV,14.7,1990
JALISCO,20.3,NOV,18.7,1990
ESTADO DE MÉXICO,14.5,NOV,13.5,1990
MICHOACÁN,20.1,NOV,18.7,1990
MORELOS,21.4,NOV,20.1,1990
NAYARIT,24.9,NOV,25.0,1990
NUEVO LEÓN,19.9,NOV,16.8,1990
OAXACA,22.3,NOV,21.1,1990
PUEBLA,17.7,NOV,16.1,1990
QUERÉTARO,17.7,NOV,16.1,1990
QUINTANA ROO,25.6,NOV,24.2,1990
SAN LUIS POTOSÍ,20.7,NOV,18.6,1990
SINALOA,24.8,NOV,23.8,1990
SONORA,21.8,NOV,18.8,1990
TABASCO,27.1,NOV,25.7,1990
TAMAULIPAS,23.6,NOV,21.1,1990
TLAXCALA,13.8,NOV,12.6,1990
VERACRUZ,22.7,NOV,21.0,1990
YUCATÁN,26.1,NOV,24.8,1990
ZACATECAS,17.2,NOV,15.0,1990
AGUASCALIENTES,17.0,DIC,13.1,1990
BAJA CALIFORNIA,19.2,DIC,12.5,1990
BAJA CALIFORNIA SUR,22.3,DIC,17.7,1990
CAMPECHE,26.0,DIC,23.6,1990
COAHUILA,19.5,DIC,13.3,1990
COLIMA,25.3,DIC,24.3,1990
CHIAPAS,23.7,DIC,21.8,1990
CHIHUAHUA,16.7,DIC,9.6,1990
DISTRITO FEDERAL,15.5,DIC,12.8,1990
DURANGO,17.1,DIC,12.2,1990
GUANAJUATO,18.1,DIC,14.4,1990
GUERRERO,25.0,DIC,23.4,1990
HIDALGO,16.3,DIC,13.4,1990
JALISCO,20.3,DIC,17.0,1990
ESTADO DE MÉXICO,14.5,DIC,12.1,1990
MICHOACÁN,20.1,DIC,17.4,1990
MORELOS,21.4,DIC,19.0,1990
NAYARIT,24.9,DIC,22.5,1990
NUEVO LEÓN,19.9,DIC,13.3,1990
OAXACA,22.3,DIC,20.1,1990
PUEBLA,17.7,DIC,14.8,1990
QUERÉTARO,17.7,DIC,14.6,1990
QUINTANA ROO,25.6,DIC,23.0,1990
SAN LUIS POTOSÍ,20.7,DIC,15.7,1990
